,tweet_source,tweet_text,tweet_date,tweet_vader_score,tweet_pos_score,tweet_neu_score,tweet_neg_score
0,Fox News,"Bernie Sanders' 'Medicare for all' bill estimated to cost $32.6T, new study says https://t.co/COty3USLTN",Mon Jul 30 13:32:42 +0000 2018,0.0,0.0,1.0,0.0
1,Fox News,MH370 report says someone deliberately 'manipulated’ plane’s controls https://t.co/C2maQRmurT,Mon Jul 30 13:19:03 +0000 2018,0.0,0.0,1.0,0.0
2,Fox News,"New York brothers wake up to find intruder, beat and stab burglar to death, cops say https://t.co/wwbKOqCAz2",Mon Jul 30 13:17:40 +0000 2018,-0.8271,0.0,0.661,0.339
3,Fox News,India could strip 4 million of citizenship in northeast region https://t.co/V5mJOE2vmm,Mon Jul 30 13:04:45 +0000 2018,0.0,0.0,1.0,0.0
4,Fox News,Report: US Therapists See Increase in Patients With 'Trump Anxiety Disorder' https://t.co/juMOo5pD46,Mon Jul 30 12:47:12 +0000 2018,-0.2732,0.146,0.573,0.28
5,Fox News,David Logan: “We are hopeful that we can have more closure for the families who have lost loved ones in the Korean… https://t.co/W78ZoPSeVr,Mon Jul 30 12:41:47 +0000 2018,0.7096,0.244,0.678,0.078
6,Fox News,Meghan Markle's dad slammed by Chrissy Teigen for 'embarrassing' comments https://t.co/C7lQCtGgyy,Mon Jul 30 12:29:43 +0000 2018,0.0,0.0,1.0,0.0
7,Fox News,Rudy Giuliani: “You could investigate an innocent man forever.” https://t.co/JDpn7NPBo7,Mon Jul 30 12:04:00 +0000 2018,0.34,0.211,0.789,0.0
8,Fox News,Rudy Giuliani: “Everything that’s been released so far shows the president to be absolutely innocent. He didn’t do… https://t.co/biWQ4yvZ6e,Mon Jul 30 12:01:00 +0000 2018,0.4005,0.13,0.87,0.0
9,Fox News,Confederate monuments report raises idea of changing Texas capital's name https://t.co/JWB5nbdIIM,Mon Jul 30 11:54:19 +0000 2018,0.0,0.0,1.0,0.0
10,Fox News,Chick-fil-A's Canadian expansion sparks pro-LGBTQ protests https://t.co/gSfVnX1coy,Mon Jul 30 11:51:13 +0000 2018,-0.2263,0.0,0.759,0.241
11,Fox News,OPINION: @GiannoCaldwell: Chicago's gun violence is intolerable -- Trump should provide help https://t.co/iAg2BLc8Ab,Mon Jul 30 11:29:10 +0000 2018,-0.5859,0.141,0.521,0.339
12,Fox News,.@newtgingrich: “His policies are working.” https://t.co/loe3wmqtD8,Mon Jul 30 11:19:42 +0000 2018,0.0,0.0,1.0,0.0
13,Fox News,".@newtgingrich: “Is it more radical to want to have a wall, or is it more radical to want to have open borders?” https://t.co/O2uy6FTNDs",Mon Jul 30 11:16:21 +0000 2018,0.2795,0.135,0.865,0.0
